Season;Player;injury_matches_missed;Nation;Pos;Squad;Playing Time_MP;Born;Playing Time_Starts;Playing Time_Min;Playing Time_90s;Performance_Gls;Performance_Ast;Performance_G+A;Performance_G-PK;Performance_PK;Performance_PKatt;Performance_CrdY;Performance_CrdR;Expected_xG;Expected_npxG;Expected_xAG;Expected_npxG+xAG;Progression_PrgC;Progression_PrgP;Progression_PrgR;Per 90 Minutes_Gls;Per 90 Minutes_Ast;Per 90 Minutes_G+A;Per 90 Minutes_G-PK;Per 90 Minutes_G+A-PK;Per 90 Minutes_xG;Per 90 Minutes_xAG;Per 90 Minutes_xG+xAG;Per 90 Minutes_npxG;Per 90 Minutes_npxG+xAG
2021-22;Mohammed Kudus;;gh GHA;MF;Ajax;2;2000;0;25;0.3;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;2;2;0;0.00;0.00;0.00;0.00;0.00;0.48;0.00;0.48;0.48;0.48
2021-22;André Onana;;cm CMR;GK;Ajax;2;1996;2;180;2.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2022-23;Lucas Ocampos;;ar ARG;FW;Ajax;2;1994;0;17;0.2;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;0;1;0.00;0.00;0.00;0.00;0.00;0.30;0.00;0.30;0.30;0.30
2022-23;Owen Wijndal;;nl NED;DF;Ajax;2;1999;1;76;0.8;0;1;1;0;0;0;0;0;0.0;0.0;0.2;0.2;2;6;7;0.00;1.18;1.18;0.00;1.18;0.00;0.29;0.29;0.00;0.29
2025-26;Remko Pasveer;0;nl NED;GK;Ajax;2;1983;2;180;2.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2025-26;Oliver Edvardsen;0;no NOR;FW;Ajax;2;1999;1;135;1.5;0;0;0;0;0;0;0;0;0.2;0.2;0.6;0.8;0;3;5;0.00;0.00;0.00;0.00;0.00;0.14;0.38;0.52;0.14;0.52
2025-26;Rayane Bounida;0;be BEL;MF,FW;Ajax;2;2006;1;93;1.0;0;0;0;0;0;0;0;0;0.1;0.1;0.4;0.5;3;7;11;0.00;0.00;0.00;0.00;0.00;0.10;0.41;0.50;0.10;0.50
2020-21;Klaas-Jan Huntelaar;;nl NED;FW;Ajax;3;1983;0;40;0.4;0;0;0;0;0;0;0;0;0.3;0.3;0.1;0.4;0;1;4;0.00;0.00;0.00;0.00;0.00;0.69;0.26;0.95;0.69;0.95
2020-21;Sean Klaiber;;sr SUR;DF;Ajax;3;1994;0;58;0.6;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;1;3;1;0.00;0.00;0.00;0.00;0.00;0.00;0.11;0.11;0.00;0.11
2021-22;Perr Schuurs;;nl NED;DF;Ajax;3;1999;2;145;1.6;0;1;1;0;0;0;1;0;0.1;0.1;0.3;0.4;6;12;0;0.00;0.62;0.62;0.00;0.62;0.04;0.20;0.24;0.04;0.24
2021-22;Nicolás Tagliafico;;ar ARG;DF;Ajax;3;1992;1;139;1.5;0;1;1;0;0;0;0;0;0.0;0.0;0.5;0.5;3;7;10;0.00;0.65;0.65;0.00;0.65;0.02;0.31;0.33;0.02;0.33
2021-22;Kenneth Taylor;;nl NED;MF;Ajax;3;2002;0;41;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2;5;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2022-23;Youri Baas;;nl NED;DF;Ajax;3;2003;0;44;0.5;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;1;3;0.00;0.00;0.00;0.00;0.00;0.16;0.00;0.16;0.16;0.16
2022-23;Francisco Conceição;;pt POR;FW,MF;Ajax;3;2002;0;17;0.2;1;0;1;1;0;0;1;0;0.5;0.5;0.0;0.5;1;1;4;5.29;0.00;5.29;5.29;5.29;3.07;0.00;3.07;3.07;3.07
2025-26;Lucas Oliveira Rosa;0;br BRA;DF;Ajax;3;2000;3;263;2.9;0;1;1;0;0;0;1;0;0.0;0.0;0.1;0.1;6;11;10;0.00;0.34;0.34;0.00;0.34;0.00;0.04;0.04;0.00;0.04
2025-26;James McConnell;2;eng ENG;MF;Ajax;3;2004;1;119;1.3;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;5;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2025-26;Kasper Dolberg;3;dk DEN;FW;Ajax;3;1997;1;109;1.2;1;0;1;1;0;0;0;0;0.7;0.7;0.0;0.7;3;0;7;0.83;0.00;0.83;0.83;0.83;0.59;0.00;0.59;0.59;0.59
2020-21;Edson Álvarez;;mx MEX;MF,DF;Ajax;4;1997;1;125;1.4;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2;4;1;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.00;0.02
2020-21;Antony;;br BRA;FW;Ajax;4;2000;4;358;4.0;1;0;1;1;0;0;0;0;0.4;0.4;0.6;1.0;20;18;32;0.25;0.00;0.25;0.25;0.25;0.11;0.14;0.25;0.11;0.25
2020-21;Jurgen Ekkelenkamp;;nl NED;MF;Ajax;4;2000;1;91;1.0;0;0;0;0;0;0;0;0;0.1;0.1;0.3;0.4;0;2;4;0.00;0.00;0.00;0.00;0.00;0.11;0.28;0.39;0.11;0.39
2020-21;David Neres;;br BRA;FW;Ajax;4;1997;4;310;3.4;1;0;1;1;0;0;1;0;0.6;0.6;2.3;2.9;15;12;43;0.29;0.00;0.29;0.29;0.29;0.18;0.66;0.84;0.18;0.84
2022-23;Devyne Rensch;;nl NED;DF;Ajax;4;2003;3;287;3.2;0;0;0;0;0;0;1;0;0.5;0.5;0.0;0.6;6;6;16;0.00;0.00;0.00;0.00;0.00;0.17;0.01;0.18;0.17;0.18
2025-26;Owen Wijndal;1;nl NED;DF;Ajax;4;1999;4;248;2.8;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;4;15;16;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.00;0.02
2025-26;Wout Weghorst;2;nl NED;FW;Ajax;4;1992;4;287;3.2;1;0;1;0;1;1;2;0;1.1;0.3;0.4;0.7;0;4;14;0.31;0.00;0.31;0.00;0.00;0.33;0.14;0.47;0.09;0.23
2025-26;Kenneth Taylor;1;nl NED;MF;Ajax;4;2002;4;258;2.9;0;0;0;0;0;0;0;1;0.3;0.3;0.1;0.4;3;16;12;0.00;0.00;0.00;0.00;0.00;0.11;0.02;0.13;0.11;0.13
2025-26;Vitezslav Jaros;0;cz CZE;GK;Ajax;4;2001;4;360;4.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2025-26;Kian Fitz-Jim;0;nl NED;MF,FW;Ajax;4;2003;0;51;0.6;0;0;0;0;0;0;0;0;0.0;0.0;0.2;0.2;1;4;1;0.00;0.00;0.00;0.00;0.00;0.00;0.37;0.37;0.00;0.37
2020-21;Daley Blind;;nl NED;DF,MF;Ajax;5;1990;5;413;4.6;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.1;3;21;2;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.02;0.01;0.02
2020-21;Lassina Franck Traoré;;bf BFA;FW;Ajax;5;2001;2;198;2.2;1;1;2;1;0;0;1;0;1.0;1.0;0.1;1.1;3;5;20;0.45;0.45;0.91;0.45;0.91;0.47;0.04;0.51;0.47;0.51
2020-21;Zakaria Labyad;;ma MAR;MF;Ajax;5;1993;2;183;2.0;0;0;0;0;0;0;0;0;1.2;1.2;0.0;1.2;3;8;7;0.00;0.00;0.00;0.00;0.00;0.61;0.00;0.61;0.61;0.61
2020-21;Lisandro Martínez;;ar ARG;DF;Ajax;5;1998;3;299;3.3;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;3;7;0;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.03;0.02;0.03
2020-21;Quincy Promes;;nl NED;FW,DF;Ajax;5;1992;1;248;2.8;0;1;1;0;0;0;1;0;0.8;0.8;0.6;1.3;7;10;28;0.00;0.36;0.36;0.00;0.36;0.29;0.20;0.49;0.29;0.49
2021-22;David Neres;;br BRA;FW;Ajax;5;1997;2;205;2.3;1;0;1;1;0;0;0;0;0.6;0.6;0.6;1.2;6;6;36;0.44;0.00;0.44;0.44;0.44;0.27;0.27;0.54;0.27;0.54
2021-22;Devyne Rensch;;nl NED;DF;Ajax;5;2003;0;75;0.8;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;4;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2022-23;Daley Blind;;nl NED;DF;Ajax;5;1990;5;407;4.5;0;0;0;0;0;0;0;0;0.2;0.2;0.1;0.3;2;33;13;0.00;0.00;0.00;0.00;0.00;0.05;0.02;0.07;0.05;0.07
2022-23;Brian Brobbey;;nl NED;FW;Ajax;5;2002;1;116;1.3;0;0;0;0;0;0;0;0;0.0;0.0;0.6;0.6;0;0;4;0.00;0.00;0.00;0.00;0.00;0.00;0.45;0.45;0.00;0.45
2022-23;Jorge Eduardo Sánchez;;mx MEX;DF;Ajax;5;1997;3;269;3.0;0;0;0;0;0;0;1;0;0.2;0.2;0.2;0.3;2;3;12;0.00;0.00;0.00;0.00;0.00;0.05;0.05;0.11;0.05;0.11
2022-23;Florian Grillitsch;;at AUT;MF;Ajax;5;1995;0;59;0.7;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.00;0.04
2022-23;Davy Klaassen;;nl NED;MF;Ajax;5;1993;2;212;2.4;1;0;1;1;0;0;0;0;0.1;0.1;0.1;0.2;0;2;7;0.42;0.00;0.42;0.42;0.42;0.03;0.06;0.09;0.03;0.09
2022-23;Dušan Tadić;;rs SRB;FW;Ajax;5;1988;5;432;4.8;0;1;1;0;0;0;2;1;0.4;0.4;1.6;2.0;16;26;43;0.00;0.21;0.21;0.00;0.21;0.09;0.33;0.42;0.09;0.42
2025-26;Josip Šutalo;1;hr CRO;DF;Ajax;5;2000;3;313;3.5;0;0;0;0;0;0;0;0;0.1;0.1;0.2;0.2;0;18;0;0.00;0.00;0.00;0.00;0.00;0.02;0.05;0.06;0.02;0.06
2025-26;Raúl Moro;0;es ESP;FW,MF;Ajax;5;2002;2;195;2.2;0;0;0;0;0;0;0;0;0.2;0.2;0.2;0.4;9;9;25;0.00;0.00;0.00;0.00;0.00;0.11;0.10;0.20;0.11;0.20
2025-26;Jorthy Mokio;0;be BEL;MF,DF;Ajax;5;2008;2;327;3.6;0;0;0;0;0;0;1;0;0.3;0.3;0.1;0.5;4;12;4;0.00;0.00;0.00;0.00;0.00;0.09;0.03;0.13;0.09;0.13
2025-26;Ko Itakura;0;jp JPN;DF,MF;Ajax;5;1997;5;417;4.6;0;0;0;0;0;0;1;0;0.1;0.1;0.2;0.3;1;12;1;0.00;0.00;0.00;0.00;0.00;0.01;0.04;0.06;0.01;0.06
2025-26;Anton Gaaei;0;dk DEN;DF;Ajax;5;2002;3;313;3.5;1;0;1;1;0;0;2;0;0.3;0.3;1.0;1.3;6;15;31;0.29;0.00;0.29;0.29;0.29;0.09;0.28;0.37;0.09;0.37
2020-21;Ryan Gravenberch;;nl NED;MF;Ajax;6;2002;6;528;5.9;1;0;1;1;0;0;2;1;0.2;0.2;0.1;0.3;14;30;16;0.17;0.00;0.17;0.17;0.17;0.04;0.01;0.05;0.04;0.05
2020-21;Davy Klaassen;;nl NED;MF;Ajax;6;1993;5;453;5.0;0;0;0;0;0;0;1;0;0.7;0.7;0.0;0.7;2;24;6;0.00;0.00;0.00;0.00;0.00;0.13;0.01;0.14;0.13;0.14
2020-21;Noussair Mazraoui;;ma MAR;DF;Ajax;6;1997;6;477;5.3;1;0;1;1;0;0;1;0;0.4;0.4;0.1;0.5;12;38;15;0.19;0.00;0.19;0.19;0.19;0.07;0.03;0.09;0.07;0.09
2020-21;André Onana;;cm CMR;GK;Ajax;6;1996;6;540;6.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
