Player,Team,Pos,Gls,lambda_final_goals,TopScorer_Prob,LogoFile
Christian Nørgaard,Arsenal,"MF,DF",0,0.39347874878081807,0.0,Arsenal.png
Cristhian Mosquera,Arsenal,DF,0,0.2819035962811523,0.0,Arsenal.png
Gabriel Magalhães,Arsenal,DF,1,2.839329980111893,0.0,Arsenal.png
Martín Zubimendi,Arsenal,MF,0,0.34220955290656085,0.0,Arsenal.png
Ben White,Arsenal,DF,0,0.17341783897251048,0.0,Arsenal.png
Jurriën Timber,Arsenal,DF,1,2.1075183916174236,0.0,Arsenal.png
Mika Godts,Ajax,"FW,MF",0,0.19706998500925133,0.0,Ajax.png
Youri Regeer,Ajax,"MF,DF",0,0.09336109701055008,0.0,Ajax.png
Andoni Gorosabel,Athletic Club,DF,0,0.15677593128153905,0.0,Athletic Club.png
Kasper Dolberg,Ajax,FW,1,1.6931388529513067,0.0,Ajax.png
Aaron Bouwman,Ajax,DF,0,0.7541318836312771,0.0,Ajax.png
Steven Berghuis,Ajax,FW,0,0.7144010902614396,0.0,Ajax.png
Gerald Alders,Ajax,DF,0,0.16607848223789923,0.0,Ajax.png
Remko Pasveer,Ajax,GK,0,0.5513028558803795,0.0,Ajax.png
Oliver Edvardsen,Ajax,FW,0,0.3051883572971636,0.0,Ajax.png
Rayane Bounida,Ajax,"MF,FW",0,0.19785234193254264,0.0,Ajax.png
Lucas Oliveira Rosa,Ajax,DF,0,0.39666219444960343,0.0,Ajax.png
James McConnell,Ajax,MF,0,0.22927578742016574,0.0,Ajax.png
Owen Wijndal,Ajax,DF,0,0.24435595708706315,0.0,Ajax.png
Anton Gaaei,Ajax,DF,1,1.3847285911571272,0.0,Ajax.png
Wout Weghorst,Ajax,FW,1,1.626852110975563,0.0,Ajax.png
Kenneth Taylor,Ajax,MF,0,0.18498676419386997,0.0,Ajax.png
Vitezslav Jaros,Ajax,GK,0,0.2897601622015905,0.0,Ajax.png
Kian Fitz-Jim,Ajax,"MF,FW",0,0.027669632635953803,0.0,Ajax.png
Josip Šutalo,Ajax,DF,0,0.1282532384236736,0.0,Ajax.png
Raúl Moro,Ajax,"FW,MF",0,0.0845164436178863,0.0,Ajax.png
Jorthy Mokio,Ajax,"MF,DF",0,0.1313989036258177,0.0,Ajax.png
Ko Itakura,Ajax,"DF,MF",0,0.11414443893074636,0.0,Ajax.png
Declan Rice,Arsenal,MF,0,0.36370414618420366,0.0,Arsenal.png
Myles Lewis-Skelly,Arsenal,DF,0,0.23233902274560983,0.0,Arsenal.png
Eberechi Eze,Arsenal,"MF,FW",0,0.22757836525821942,0.0,Arsenal.png
Iñaki Williams,Athletic Club,FW,0,0.17931627872199338,0.0,Athletic Club.png
Raoul Bellanova,Atalanta,"DF,MF",0,0.17407443585591897,0.0,Atalanta.png
Maroan Sannadi,Athletic Club,FW,0,0.6821414677746276,0.0,Athletic Club.png
Ibon Sánchez,Athletic Club,FW,0,0.04427858441842389,0.0,Athletic Club.png
Selton Sánchez,Athletic Club,MF,0,0.08523516528245062,0.0,Athletic Club.png
Iñigo Lekue,Athletic Club,DF,0,0.36401339400727856,0.0,Athletic Club.png
Aymeric Laporte,Athletic Club,DF,0,0.5106660322196668,0.0,Athletic Club.png
Asier Hierro,Athletic Club,"FW,MF",0,0.039752312713440104,0.0,Athletic Club.png
Nico Williams,Athletic Club,FW,0,0.21906531170073132,0.0,Athletic Club.png
Nicolás Serrano,Athletic Club,"FW,MF",0,0.03535651295017734,0.0,Athletic Club.png
David Raya,Arsenal,GK,0,0.3477050609042594,0.0,Arsenal.png
Yuri Berchiche,Athletic Club,DF,0,0.3400216651898708,0.0,Athletic Club.png
